Product_ID,Product_Name,Category,Price,Discount_Percent,Final_Price,Rating,Reviews,Units_Sold,Revenue,Stock
P043,Orion Smartphone X3 043,Electronics,34300,12,30184,4,3581,6903,208360152,316
P044,PixelPro Laptop Pro 14 044,Computers,68400,13,59508,4.8,1561,3204,190663632,277
P045,Astra Laptop Air 13 045,Computers,60800,15,51680,4.2,5215,2628,135815040,115
P046,TechCore Laptop Core 15 046,Computers,44800,16,37632,4.2,3267,3307,124449024,475
P047,Voltix Wireless Earbuds A 047,Audio,2600,29,1846,4.3,9313,8720,16097120,318
P048,Nexora Wireless Earbuds B 048,Audio,4100,18,3362,4.8,4502,8242,27709604,142
P049,ByteWave Bluetooth Speaker 049,Audio,2900,19,2349,4.4,4754,5532,12994668,404
P050,Lumina Smart Watch A 050,Wearables,6500,10,5850,4.1,7030,7582,44354700,57
P051,NovaTech Smart Watch B 051,Wearables,9100,13,7917,4.2,5037,5282,41817594,470
P052,ZenByte Fitness Band 052,Wearables,2400,27,1752,3.8,9784,9748,17078496,333
P053,Orion Tablet 10 053,Tablets,20800,21,16432,4.3,1788,4718,77526176,173
P054,PixelPro Tablet Pro 054,Tablets,32600,8,29992,4.8,1527,1760,52785920,74
P055,Astra Tablet Lite 055,Tablets,14700,17,12201,3.8,4370,5260,64177260,124
P056,TechCore Gaming Mouse 056,Accessories,1900,29,1349,4.4,5936,11641,15703709,46
P057,Voltix Mechanical Keyboard 057,Accessories,4700,19,3807,4.8,3110,5235,19929645,86
P058,Nexora USB-C Hub 058,Accessories,2400,24,1824,4,4716,6542,11932608,307
P059,ByteWave Power Bank 10000 059,Accessories,1400,16,1176,4.6,10479,6993,8223768,38
P060,Lumina Power Bank 20000 060,Accessories,2700,20,2160,4.4,6533,4801,10370160,206
P061,NovaTech Smartphone X1 061,Electronics,20600,19,16686,4.6,4072,7066,117903276,369
P062,ZenByte Smartphone X2 062,Electronics,24100,11,21449,4.4,6033,8398,180128702,337
P063,Orion Smartphone X3 063,Electronics,34800,8,32016,4.5,6413,6244,199907904,471
P064,PixelPro Laptop Pro 14 064,Computers,64600,15,54910,4.8,2254,4078,223922980,430
P065,Astra Laptop Air 13 065,Computers,58300,18,47806,4.6,2839,5049,241372494,75
P066,TechCore Laptop Core 15 066,Computers,47500,15,40375,4.4,3215,6160,248710000,255
P067,Voltix Wireless Earbuds A 067,Audio,2500,32,1700,4.5,6189,10618,18050600,224
P068,Nexora Wireless Earbuds B 068,Audio,3900,14,3354,4.8,4942,7803,26171262,224
P069,ByteWave Bluetooth Speaker 069,Audio,3100,25,2325,4.2,3252,8623,20048475,153
P070,Lumina Smart Watch A 070,Wearables,5700,14,4902,3.8,5220,4653,22809006,422
P071,NovaTech Smart Watch B 071,Wearables,8800,14,7568,4.7,2283,5345,40450960,117
P072,ZenByte Fitness Band 072,Wearables,2400,34,1584,4,7585,10470,16584480,371
P073,Orion Tablet 10 073,Tablets,19900,20,15920,4.4,2381,3508,55847360,360
P074,PixelPro Tablet Pro 074,Tablets,32600,16,27384,4.4,3091,3084,84452256,173
P075,Astra Tablet Lite 075,Tablets,14200,25,10650,3.9,3612,3680,39192000,85
P076,TechCore Gaming Mouse 076,Accessories,1700,35,1105,4.7,9045,11602,12820210,335
P077,Voltix Mechanical Keyboard 077,Accessories,5100,19,4131,4.6,2886,4996,20638476,240
P078,Nexora USB-C Hub 078,Accessories,2400,29,1704,4.3,4825,5304,9038016,129
P079,ByteWave Power Bank 10000 079,Accessories,1500,27,1095,4.6,11357,7166,7846770,63
P080,Lumina Power Bank 20000 080,Accessories,2400,21,1896,4.5,5910,9915,18798840,404
P081,NovaTech Smartphone X1 081,Electronics,18300,11,16287,4.1,5148,4812,78373044,145
P082,ZenByte Smartphone X2 082,Electronics,27400,19,22194,4.7,3415,5924,131477256,342
P083,Orion Smartphone X3 083,Electronics,33800,16,28392,4.3,4405,3882,110217744,355
P084,PixelPro Laptop Pro 14 084,Computers,67800,25,50850,4.9,3648,3694,187839900,132
P085,Astra Laptop Air 13 085,Computers,53300,18,43706,4.4,2097,3207,140165142,454
P086,TechCore Laptop Core 15 086,Computers,45200,17,37516,4.3,5038,6862,257434792,324
P087,Voltix Wireless Earbuds A 087,Audio,2400,32,1632,4.5,9260,11085,18090720,278
P088,Nexora Wireless Earbuds B 088,Audio,4000,21,3160,4.5,4237,9095,28740200,250
P089,ByteWave Bluetooth Speaker 089,Audio,2900,20,2320,4.5,4629,8076,18736320,268
P090,Lumina Smart Watch A 090,Wearables,6200,14,5332,4.1,5747,4152,22138464,191
P091,NovaTech Smart Watch B 091,Wearables,8800,13,7656,4.1,2402,3605,27599880,98
P092,ZenByte Fitness Band 092,Wearables,2600,24,1976,3.9,6260,8083,15972008,51
P093,Orion Tablet 10 093,Tablets,18200,15,15470,4.1,4178,5122,79237340,30
P094,PixelPro Tablet Pro 094,Tablets,32200,19,26082,4.6,2278,3573,93190986,172
P095,Astra Tablet Lite 095,Tablets,14800,21,11692,4,4856,5568,65101056,479
P096,TechCore Gaming Mouse 096,Accessories,1700,28,1224,4.2,7647,7853,9612072,362
P097,Voltix Mechanical Keyboard 097,Accessories,5200,19,4212,4.8,7194,8240,34706880,338
P098,Nexora USB-C Hub 098,Accessories,2300,26,1702,4.3,5754,3622,6164644,239
P099,ByteWave Power Bank 10000 099,Accessories,1400,22,1092,4.1,6877,8484,9264528,252
P100,Lumina Power Bank 20000 100,Accessories,2400,23,1848,4.7,5535,10789,19938072,235
